Order ID,Order Date,Ship Mode,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Month
CA-2024-1047,2024-09-29,Standard Class,Jeremiah Thompson,Corporate,West,Technology,Printer,Printer Market,406.91,6,0.42,49.35,9
CA-2023-1048,2023-03-28,First Class,Meredith Hudson,Consumer,West,Furniture,Sofa,Sofa Stay,730.25,1,0.2,151.12,3
CA-2023-1049,2023-04-11,First Class,Elizabeth Torres,Home Office,East,Furniture,Bookcase,Bookcase Professional,400.58,2,0.28,136.36,4
CA-2023-1050,2024-06-18,Standard Class,Seth Johnson,Home Office,East,Furniture,Sofa,Sofa Wind,863.02,8,0.25,27.5,6
CA-2025-1051,2023-02-08,Second Class,Gregory Smith,Home Office,Central,Office Supplies,Pen,Pen Race,938.35,9,0.22,2.21,2
CA-2025-1052,2023-06-24,First Class,Ms. Brenda Walter DVM,Corporate,Central,Technology,Phone,Phone Consumer,658.84,5,0.02,0.42,6
CA-2025-1053,2024-08-28,Standard Class,Anne Flynn,Corporate,West,Office Supplies,Pen,Pen Others,622.4,6,0.01,108.54,8
CA-2025-1054,2023-06-16,Second Class,Crystal Bailey,Corporate,West,Technology,Phone,Phone Floor,334.24,9,0.24,5.75,6
CA-2023-1055,2023-01-14,Second Class,Michael Hughes,Corporate,West,Furniture,Bookcase,Bookcase Share,273.09,1,0.01,187.27,1
CA-2023-1056,2023-06-05,Standard Class,Denise Lane,Home Office,Central,Furniture,Bookcase,Bookcase State,794.74,9,0.35,6.22,6
CA-2024-1057,2024-04-22,Standard Class,Susan Greer,Corporate,East,Furniture,Sofa,Sofa Unit,429.14,10,0.17,137.89,4
CA-2025-1058,2024-09-07,Second Class,Anthony Banks,Home Office,East,Office Supplies,Binder,Binder Follow,779.12,8,0.18,32.61,9
CA-2025-1059,2023-11-19,Standard Class,Michael Hunter DVM,Consumer,Central,Technology,Printer,Printer Bill,876.04,9,0.41,206.59,11
CA-2024-1060,2023-08-27,Second Class,Mrs. Brenda Thompson DVM,Consumer,Central,Office Supplies,Binder,Binder Either,604.61,7,0.02,168.82,8
CA-2025-1061,2023-05-30,Standard Class,Lydia Jones,Consumer,Central,Office Supplies,Paper,Paper Red,873.78,6,0.08,-31.83,5
CA-2023-1062,2023-01-11,Standard Class,Jessica Harrell,Home Office,Central,Office Supplies,Binder,Binder Probably,372.05,7,0.46,257.03,1
CA-2023-1063,2023-07-07,Second Class,Jennifer Atkins,Consumer,West,Technology,Monitor,Monitor Administration,322.3,8,0.48,41.14,7
CA-2023-1064,2024-07-01,First Class,Alexandra Jones,Corporate,East,Technology,Phone,Phone Month,39.18,7,0.11,239.01,7
CA-2023-1065,2023-12-14,Second Class,Natasha Romero,Corporate,South,Office Supplies,Storage,Storage Student,411.61,1,0.29,255.36,12
CA-2023-1066,2023-12-10,Second Class,Megan Sanders,Consumer,East,Furniture,Chair,Chair Movement,378.97,8,0.37,207.43,12
CA-2024-1067,2024-02-11,Standard Class,Melissa Saunders,Home Office,Central,Furniture,Chair,Chair There,754.87,6,0.28,229.46,2
CA-2024-1068,2024-10-08,First Class,Christopher Mckee,Home Office,East,Furniture,Sofa,Sofa Artist,606.95,10,0.42,-10.81,10
CA-2025-1069,2023-12-09,First Class,Christina Perry,Consumer,South,Technology,Laptop,Laptop Amount,496.63,1,0.28,240.63,12
CA-2024-1070,2023-01-04,Standard Class,Melanie Perez,Corporate,East,Office Supplies,Binder,Binder Debate,734.63,10,0.35,260.53,1
CA-2024-1071,2023-09-12,Standard Class,Christopher Buchanan,Consumer,Central,Furniture,Table,Table Yard,617.82,1,0.44,-25.31,9
CA-2023-1072,2023-12-05,Second Class,Michael Solomon,Corporate,Central,Furniture,Chair,Chair Miss,695.13,7,0.02,249.42,12
CA-2024-1073,2024-01-07,Second Class,Ashley Todd,Home Office,West,Office Supplies,Pen,Pen Pm,507.99,7,0.27,162.72,1
CA-2024-1074,2023-11-10,Standard Class,Lisa Lambert,Home Office,West,Furniture,Bookcase,Bookcase Floor,89.52,6,0.48,68.51,11
CA-2024-1075,2024-10-14,First Class,Kenneth Rhodes,Consumer,East,Technology,Monitor,Monitor Six,342.93,3,0.13,-44.11,10
CA-2025-1076,2024-05-11,First Class,Angela Warren,Home Office,Central,Technology,Monitor,Monitor Try,942.08,4,0.45,66.66,5
CA-2024-1077,2023-10-12,First Class,Leslie Miller,Home Office,South,Technology,Phone,Phone Some,379.97,10,0.03,282.19,10
CA-2025-1078,2023-10-09,Second Class,Angela Moore,Consumer,Central,Furniture,Table,Table Create,704.34,6,0.23,292.78,10
CA-2025-1079,2023-08-30,First Class,Olivia Campbell,Corporate,West,Office Supplies,Storage,Storage Defense,618.07,10,0.2,295.18,8
CA-2025-1080,2024-05-20,First Class,Cynthia Wilson,Corporate,West,Furniture,Table,Table Short,550.28,1,0.23,75.69,5
CA-2024-1081,2024-06-12,Standard Class,John Allen,Corporate,South,Technology,Printer,Printer Fear,671.45,4,0.18,239.5,6
CA-2023-1082,2024-02-05,Second Class,Kevin Baird,Consumer,East,Office Supplies,Paper,Paper Writer,272.93,7,0.22,39.14,2
CA-2025-1083,2023-03-12,First Class,Joseph Bowers,Corporate,South,Furniture,Sofa,Sofa Attorney,249.9,1,0.32,177.5,3
CA-2025-1084,2023-12-28,First Class,Linda Sutton,Corporate,South,Technology,Printer,Printer Issue,872.53,4,0.3,-1.11,12
CA-2023-1085,2024-10-08,Second Class,Morgan Zimmerman,Corporate,Central,Technology,Phone,Phone Level,445.86,4,0.17,-23.54,10
CA-2025-1086,2023-07-27,First Class,Ryan Shaw,Corporate,West,Technology,Monitor,Monitor Base,864.38,4,0.13,259.14,7
CA-2024-1087,2024-09-23,Standard Class,Melissa Ortiz,Corporate,East,Office Supplies,Binder,Binder His,63.32,5,0.04,86.72,9
CA-2025-1088,2024-06-08,First Class,Christina Johnson,Consumer,West,Technology,Laptop,Laptop White,86.18,6,0.46,208.69,6
CA-2024-1089,2024-01-03,Second Class,Michael James,Corporate,East,Office Supplies,Paper,Paper Own,780.92,7,0.2,136.04,1
CA-2025-1090,2023-09-27,Second Class,Mark May,Home Office,West,Technology,Printer,Printer Administration,541.02,3,0.41,149.77,9
CA-2025-1091,2024-08-21,Second Class,Veronica King,Home Office,West,Technology,Printer,Printer Fill,882.02,4,0.36,-26.92,8
CA-2024-1092,2024-09-30,Second Class,Timothy Jacobson,Corporate,East,Office Supplies,Storage,Storage Life,563.38,5,0.3,211.59,9
CA-2024-1093,2024-09-13,Second Class,Brian Jones,Corporate,West,Technology,Phone,Phone Wife,470.87,8,0.14,111.96,9
CA-2024-1094,2023-10-18,Second Class,Jonathan Carson,Corporate,Central,Furniture,Bookcase,Bookcase Physical,534.66,3,0.11,294.25,10
CA-2025-1095,2024-11-19,First Class,Nicholas Vazquez,Consumer,East,Technology,Monitor,Monitor Seem,172.42,4,0.43,122.1,11
CA-2024-1096,2024-11-10,Second Class,Monica Robinson,Corporate,Central,Furniture,Table,Table Behavior,577.28,1,0.1,58.46,11
CA-2025-1097,2024-09-02,Second Class,Michele Swanson,Consumer,West,Office Supplies,Binder,Binder According,605.88,7,0.5,144.8,9
CA-2025-1098,2023-04-04,Second Class,Brandon Miller,Consumer,Central,Furniture,Bookcase,Bookcase Billion,952.4,10,0.27,-18.77,4
CA-2025-1099,2024-06-19,Standard Class,Joe Smith,Home Office,Central,Technology,Phone,Phone Before,82.73,8,0.36,13.43,6
CA-2024-1100,2023-02-16,Second Class,Donald Brown,Corporate,West,Technology,Phone,Phone See,49.49,4,0.03,7.1,2
CA-2024-1101,2024-01-09,Standard Class,Erica Gonzalez,Consumer,Central,Technology,Phone,Phone Daughter,476.46,1,0.21,-1.28,1
CA-2025-1102,2024-04-06,Second Class,Samuel Reed,Home Office,East,Technology,Printer,Printer Discuss,671.64,5,0.38,260.19,4
CA-2023-1103,2023-07-12,First Class,Cristian Brooks,Consumer,East,Office Supplies,Binder,Binder Time,481.42,1,0.21,217.95,7
CA-2023-1104,2023-08-28,First Class,Julia Moore,Corporate,East,Furniture,Bookcase,Bookcase In,265.61,6,0.06,186.6,8
CA-2025-1105,2023-11-05,Second Class,Leslie Mendez,Consumer,South,Office Supplies,Pen,Pen Mr,136.51,3,0.16,41.95,11
CA-2025-1106,2023-11-02,Standard Class,Jesse Arellano,Consumer,South,Furniture,Table,Table About,994.96,5,0.05,259.05,11
CA-2024-1107,2023-07-23,Second Class,Robert Pope,Consumer,Central,Office Supplies,Storage,Storage Town,160.25,5,0.1,179.27,7
CA-2023-1108,2024-10-01,First Class,Kyle Bennett,Home Office,West,Furniture,Sofa,Sofa Lose,738.17,1,0.07,242.07,10
CA-2023-1109,2024-03-22,Standard Class,Tina Gray DVM,Corporate,East,Technology,Phone,Phone Concern,871.17,5,0.29,197.59,3
CA-2023-1110,2023-11-05,First Class,Denise Patterson,Home Office,Central,Furniture,Chair,Chair Dream,863.56,4,0.41,190.39,11
CA-2025-1111,2023-02-15,Second Class,Mary Jacobs,Consumer,East,Furniture,Bookcase,Bookcase Per,926.16,3,0.04,159.96,2
CA-2025-1112,2024-09-05,First Class,Ashley Burton,Corporate,West,Furniture,Chair,Chair Wonder,39.02,5,0.24,299.45,9
CA-2023-1113,2024-02-22,Second Class,Dr. Natasha Conway DVM,Corporate,Central,Office Supplies,Storage,Storage Laugh,889.61,7,0.21,147.72,2
CA-2024-1114,2024-06-28,Standard Class,Hannah Vaughn,Corporate,Central,Office Supplies,Paper,Paper Choose,848.31,3,0.27,90.05,6
CA-2024-1115,2024-08-15,First Class,Mark Gonzales,Corporate,South,Office Supplies,Storage,Storage Close,726.92,1,0.25,41.14,8
CA-2024-1116,2024-10-31,Second Class,Gina Sexton,Consumer,South,Furniture,Table,Table Director,64.61,9,0.41,90.18,10
CA-2023-1117,2023-07-13,Standard Class,Michael Murray,Corporate,South,Technology,Phone,Phone Road,325.4,4,0.09,26.24,7
CA-2023-1118,2024-04-26,First Class,Samantha Liu,Consumer,South,Furniture,Table,Table Give,548.35,2,0.29,57.46,4
CA-2024-1119,2024-09-21,First Class,Matthew Adams,Corporate,East,Office Supplies,Binder,Binder Might,59.84,3,0.29,111.62,9
CA-2025-1120,2023-05-10,Standard Class,Timothy Gilmore,Home Office,East,Office Supplies,Pen,Pen Cell,712.88,1,0.36,172.01,5
CA-2025-1121,2024-11-05,Second Class,Bruce Wilson,Corporate,South,Technology,Laptop,Laptop Inside,328.74,1,0.04,71.46,11
CA-2024-1122,2023-01-01,First Class,Cameron Hill,Consumer,East,Furniture,Table,Table Themselves,939.64,6,0.31,262.79,1
CA-2025-1123,2023-08-25,Standard Class,Vanessa Jones,Consumer,Central,Office Supplies,Binder,Binder Player,396.46,2,0.18,267.33,8
CA-2023-1124,2023-12-02,First Class,Samantha Stokes,Corporate,East,Office Supplies,Paper,Paper From,426.73,10,0.15,214.64,12
CA-2024-1125,2023-09-30,First Class,Kaitlyn Wilson,Home Office,West,Office Supplies,Binder,Binder Professional,436.11,7,0.35,19.9,9
CA-2023-1126,2024-03-11,First Class,Juan Alexander,Corporate,West,Furniture,Sofa,Sofa Mother,296.94,6,0.12,202.38,3
CA-2023-1127,2024-10-08,First Class,Daniel Lewis,Corporate,West,Furniture,Sofa,Sofa Step,141.47,10,0.4,163.36,10
CA-2023-1128,2023-03-01,First Class,Daniel Wilson,Corporate,West,Furniture,Sofa,Sofa Weight,140.95,1,0.26,242.68,3
CA-2023-1129,2024-08-17,Standard Class,Bridget Nguyen,Consumer,West,Furniture,Bookcase,Bookcase Door,131.44,3,0.19,-47.07,8
CA-2023-1130,2024-12-20,Second Class,Derek Nguyen,Corporate,East,Furniture,Sofa,Sofa Consumer,570.36,6,0.12,4.24,12
CA-2025-1131,2023-07-19,Second Class,Karen Ramirez,Home Office,South,Furniture,Table,Table On,774.83,8,0.4,286.28,7
CA-2025-1132,2024-08-19,First Class,Wayne Martin,Consumer,Central,Office Supplies,Storage,Storage Call,956.62,9,0.21,132.59,8
CA-2025-1133,2024-07-31,Second Class,Paul Rangel,Corporate,South,Technology,Printer,Printer Shoulder,245.53,7,0.44,110.91,7
CA-2023-1134,2023-02-03,First Class,Christopher Parker,Consumer,Central,Technology,Monitor,Monitor Site,721.76,5,0.22,68.37,2
CA-2023-1135,2023-07-26,Second Class,Linda Escobar MD,Corporate,East,Furniture,Bookcase,Bookcase Forward,798.11,3,0.13,280.86,7
CA-2023-1136,2023-04-15,First Class,Zachary Moore,Corporate,South,Office Supplies,Pen,Pen Including,954.75,4,0.48,183.5,4
CA-2023-1137,2023-12-09,Standard Class,Mr. Juan Ellison,Home Office,South,Technology,Monitor,Monitor Feel,692.11,10,0.23,25.37,12
CA-2025-1138,2024-06-13,First Class,Stacy Lowery,Corporate,South,Furniture,Chair,Chair Area,805.63,9,0.12,267.39,6
CA-2024-1139,2024-02-26,Second Class,Nathan Jones,Corporate,Central,Furniture,Bookcase,Bookcase Happen,343.89,9,0.19,-9.97,2
CA-2024-1140,2024-03-19,First Class,Rachel Thomas,Consumer,Central,Furniture,Chair,Chair Money,492.73,6,0.14,61.49,3
CA-2024-1141,2023-07-24,First Class,Cynthia Kennedy,Consumer,West,Furniture,Chair,Chair Gun,677.18,9,0.23,16.46,7
CA-2024-1142,2024-12-26,Standard Class,Emily Zhang,Corporate,South,Office Supplies,Paper,Paper Trial,856.31,7,0.05,207.1,12
CA-2023-1143,2023-06-23,First Class,Jodi Snyder,Consumer,West,Technology,Monitor,Monitor If,92.63,1,0.44,234.57,6
CA-2025-1144,2024-09-27,Second Class,Debra Ross,Consumer,Central,Furniture,Table,Table Main,650.26,9,0.16,81.89,9
CA-2024-1145,2023-11-04,First Class,Maria Simmons,Consumer,East,Office Supplies,Storage,Storage Sign,959.15,2,0.39,38.64,11
CA-2023-1146,2024-09-13,Second Class,Kathryn Juarez,Corporate,East,Technology,Phone,Phone Through,474.48,5,0.12,178.08,9
CA-2025-1147,2024-01-22,First Class,Lori Johnson,Home Office,Central,Furniture,Table,Table This,933.32,8,0.15,277.02,1
CA-2025-1148,2023-08-16,Second Class,James Myers,Consumer,East,Technology,Laptop,Laptop Across,304.5,6,0.41,-30.06,8
CA-2024-1149,2024-09-10,Second Class,Dr. Daniel Lopez,Home Office,West,Technology,Laptop,Laptop Window,453.21,1,0.14,256.46,9
CA-2024-1150,2024-11-05,Second Class,Dawn Ramirez,Home Office,West,Technology,Phone,Phone Mean,799.98,9,0.33,71.8,11
CA-2023-1151,2024-11-13,Standard Class,Cynthia Yu,Corporate,East,Office Supplies,Paper,Paper Particularly,759.93,1,0.25,252.8,11
CA-2023-1152,2024-06-21,Standard Class,William Park,Consumer,West,Furniture,Chair,Chair Somebody,637.95,3,0.43,250.99,6
CA-2023-1153,2023-03-10,Standard Class,David Williams,Home Office,East,Technology,Laptop,Laptop Guess,278.17,6,0.34,-28.15,3
CA-2025-1154,2023-01-10,Second Class,Alison Hill,Corporate,West,Office Supplies,Paper,Paper Simply,216.31,4,0.13,49.78,1
CA-2025-1155,2024-04-27,First Class,Erica Solis,Corporate,West,Technology,Phone,Phone Season,811.14,3,0.28,22.83,4
CA-2025-1156,2023-05-11,Standard Class,Heather Fisher,Corporate,West,Technology,Laptop,Laptop Probably,341.84,10,0.38,173.24,5
CA-2024-1157,2024-03-23,Second Class,Joshua Hobbs,Corporate,South,Furniture,Table,Table Dark,207.05,9,0.38,39.15,3
CA-2024-1158,2024-07-20,First Class,Joel Martinez,Home Office,West,Office Supplies,Storage,Storage Major,669.32,8,0.36,223.44,7
CA-2024-1159,2024-04-09,First Class,Megan Elliott,Corporate,South,Technology,Printer,Printer Ok,361.78,4,0.32,33.71,4
CA-2023-1160,2023-05-01,Second Class,Madison Nunez,Consumer,West,Technology,Monitor,Monitor Performance,655.01,5,0.09,254.95,5
CA-2024-1161,2023-01-16,First Class,Zachary Thompson,Consumer,East,Furniture,Table,Table Accept,301.6,9,0.11,-34.92,1
CA-2024-1162,2023-03-23,Second Class,David Robertson,Home Office,Central,Technology,Laptop,Laptop Customer,524.21,10,0.22,285.52,3
CA-2025-1163,2023-06-04,Standard Class,Robert Jennings,Home Office,South,Furniture,Table,Table Anything,338.22,8,0.39,47.78,6
CA-2024-1164,2023-12-16,Standard Class,Diana Martinez,Consumer,West,Technology,Printer,Printer Friend,703.34,9,0.48,223.9,12
CA-2023-1165,2024-05-19,Second Class,Natasha Williams,Consumer,West,Technology,Monitor,Monitor South,437.92,1,0.3,168.02,5
CA-2024-1166,2024-05-13,Second Class,Carla Buchanan,Corporate,Central,Technology,Laptop,Laptop Oil,879.16,5,0.1,290.05,5
CA-2025-1167,2024-09-05,Standard Class,Sarah Hall,Consumer,East,Technology,Phone,Phone Program,956.96,1,0.46,180.55,9
CA-2023-1168,2023-05-08,Standard Class,Mary Walter,Home Office,West,Office Supplies,Binder,Binder Your,631.48,7,0.14,192.27,5
CA-2023-1169,2023-08-31,Second Class,Sarah Solis,Corporate,East,Office Supplies,Binder,Binder On,766.75,6,0.05,142.02,8
CA-2023-1170,2024-10-23,Second Class,Ariel Manning,Consumer,South,Furniture,Chair,Chair Tree,660.53,9,0.21,45.51,10
CA-2023-1171,2024-01-02,Standard Class,Mary Meadows,Corporate,South,Furniture,Bookcase,Bookcase Wide,129.45,1,0.31,90.3,1
CA-2025-1172,2024-12-07,Second Class,Ashley Rivera,Corporate,East,Technology,Printer,Printer Writer,582.68,8,0.21,128.92,12
CA-2025-1173,2023-05-25,First Class,Mallory Barker,Consumer,South,Technology,Monitor,Monitor Mission,323.37,10,0.4,196.2,5
CA-2024-1174,2024-04-29,First Class,Ivan Padilla,Home Office,Central,Technology,Monitor,Monitor Between,675.51,1,0.3,205.48,4
CA-2024-1175,2024-10-30,Second Class,Christina Kaiser,Corporate,South,Furniture,Chair,Chair Just,746.84,10,0.12,195.48,10
CA-2023-1176,2023-12-14,Standard Class,Shelley West,Home Office,East,Technology,Printer,Printer Show,396.94,2,0.11,193.39,12
CA-2025-1177,2024-03-12,Standard Class,Dawn Lopez,Consumer,Central,Technology,Phone,Phone Mr,313.9,2,0.05,194.73,3
CA-2024-1178,2023-04-29,Standard Class,Michelle Robinson,Consumer,South,Technology,Printer,Printer Write,955.96,1,0.03,248.73,4
CA-2025-1179,2023-06-10,Second Class,Justin Higgins,Consumer,West,Furniture,Table,Table Once,241.23,1,0.14,52.1,6
CA-2025-1180,2024-04-01,First Class,Matthew Gross,Corporate,South,Furniture,Chair,Chair Indicate,560.61,6,0.39,198.29,4
CA-2025-1181,2024-05-02,Second Class,Mr. Christopher Williams DDS,Home Office,West,Office Supplies,Storage,Storage Apply,200.03,5,0.5,185.66,5
CA-2024-1182,2024-08-24,Second Class,Jake Solomon,Corporate,East,Technology,Monitor,Monitor Allow,579.08,1,0.18,284.38,8
CA-2025-1183,2023-04-15,First Class,Meredith Thomas,Corporate,East,Technology,Phone,Phone Benefit,55.97,10,0.0,154.72,4
CA-2024-1184,2024-10-31,First Class,David Roberts PhD,Home Office,South,Office Supplies,Binder,Binder Share,652.98,7,0.3,269.43,10
CA-2024-1185,2024-03-31,Second Class,Laura Johnson,Corporate,East,Technology,Laptop,Laptop Very,771.21,4,0.25,31.52,3
CA-2025-1186,2023-12-28,Standard Class,Tony Nelson,Consumer,South,Office Supplies,Paper,Paper Must,66.59,9,0.45,261.71,12
CA-2023-1187,2024-02-28,Standard Class,Angela Smith,Corporate,East,Furniture,Table,Table Car,190.62,6,0.2,49.54,2
CA-2025-1188,2024-12-13,Standard Class,Cassandra Blackburn,Consumer,South,Technology,Laptop,Laptop Inside,53.69,5,0.0,276.31,12
CA-2025-1189,2023-04-29,Standard Class,Andrea Baxter,Home Office,West,Furniture,Table,Table Understand,395.07,2,0.22,231.07,4
CA-2023-1190,2024-08-23,Standard Class,Thomas Duke,Home Office,East,Technology,Monitor,Monitor Begin,605.82,9,0.23,113.74,8
CA-2025-1191,2023-02-05,Second Class,Rhonda Fuentes,Home Office,South,Office Supplies,Binder,Binder Task,720.21,1,0.32,-7.98,2
CA-2025-1192,2024-02-25,First Class,Walter Curry,Home Office,East,Furniture,Table,Table Skin,725.31,2,0.31,150.48,2
CA-2023-1193,2024-11-23,Standard Class,Lisa Hernandez,Home Office,West,Office Supplies,Pen,Pen Especially,440.64,6,0.39,15.66,11
CA-2025-1194,2023-02-10,Second Class,Bianca Obrien,Consumer,East,Technology,Laptop,Laptop Final,649.93,2,0.11,232.75,2
CA-2023-1195,2023-04-16,Standard Class,Sean Castillo,Corporate,South,Technology,Monitor,Monitor Surface,365.7,4,0.44,-21.35,4
CA-2025-1196,2024-09-14,Second Class,Mary Schwartz,Home Office,Central,Technology,Phone,Phone Them,874.34,10,0.38,284.58,9
CA-2024-1197,2024-01-08,First Class,Robert Thomas,Home Office,South,Technology,Phone,Phone Pretty,514.24,9,0.22,28.6,1
CA-2025-1198,2023-08-06,Standard Class,Jason Brown,Home Office,South,Technology,Printer,Printer Game,372.77,7,0.44,15.15,8
CA-2024-1199,2023-07-25,Second Class,Valerie Conner DVM,Corporate,West,Furniture,Sofa,Sofa Which,319.92,4,0.21,115.21,7
CA-2025-1200,2023-03-19,Standard Class,Kristi Austin,Consumer,West,Technology,Printer,Printer Condition,695.63,5,0.07,-44.31,3
